Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114769783312.0,I Agree,Female,25-39 years,Flight Operations,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,About half the time,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,No,Not enough awareness ,Yes
114764132609.0,I Agree,Female,25-39 years,Technical,Good,I need support,Counselling,,,,,,,,Anxiety and Depression,,Yes,Yes,Not at all,Very often,No,Yes,No,Yes,I don't remember,Few months ago,Most of the time,I don't remember,4 - 6,Not Sure,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,No,,,No
114763447519.0,I Agree,Female,25-39 years,Flight Operations,Good,I’m just there,Therapy,,,,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,No,Few days ago,Few days ago,Once in a while,Few days ago,4 - 6,Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,No,I didn't feel the importance but now i do,Yes
114762181862.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I seek help from a processional counselor,I also talk to my Mum about my issues,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,No
114759801234.0,I Agree,Male,25-39 years,Technical,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Very often,Very often,Yes,Yes,Yes,Yes,Few weeks ago,Few weeks ago,Once in a while,Few weeks ago,4 - 6,Bad,Once everyday,Once everyday,,,,,,,,,,
114759685865.0,I Agree,Female,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114758170625.0,I Agree,Female,40-49 years,Flight Operations,Fair,I’m just there,Work life balance ,Work/job related stressors,,,Trauma,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,Not Sure,Few years ago,Few weeks ago,Most of the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,Yes,,No
114755683244.0,I Agree,Female,40-49 years,Flight Operations,Good,I’m just there,,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Bad,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,,,
114755378076.0,I Agree,Male,40-49 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,I don't remember,7 - 9,OK,Never,Never,,,,,,,,,,
114754901880.0,I Agree,Male,18-24 years,Commercial,Good,I’m just there,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,Yes,I don't remember,Few days ago,Most of the time,Few weeks ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114754880247.0,I Agree,Female,18-24 years,Commercial,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Somewhat often,Not Sure,No,No,Not Sure,I don't remember,Few months ago,Once in a while,Few years ago,7 - 9,Not Sure,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114754686005.0,I Agree,Male,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114754297393.0,I Agree,Female,25-39 years,Human Resources,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,No,No,Not at all,Not at all,No,Yes,No,No,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I seek help from a processional counselor,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Pamphlets and nuggets,,Yes,No,No particular reason,No
114754252112.0,I Agree,Male,25-39 years,Commercial,Good,I am OK and coping well,,,Emotional intelligence,,,Substance and Drug Dependence,,,Anxiety and Depression,,Not Sure,Yes,Not at all,Not so often,No,No,No,Yes,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,Ihavent teken the initiative to,No
114754244846.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114754239962.0,I Agree,Male,25-39 years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,No,No,No,Not at all,Not at all,No,No,No,Yes,I don't remember,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,No,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,No,Yes,No,I have never had a challenge ,Yes
114754032700.0,I Agree,Male,25-39 years,Cargo,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Yes,Yes,Not at all,Not so often,No,No,No,Not Sure,I don't remember,Few days ago,Once in a while,Few months ago,4 - 6,OK,Once in a few weeks,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Online,,Yes,No,,Yes
114754000383.0,I Agree,Male,25-39 years,Ground Operations,Good,I am OK and coping well,need no support,Work/job related stressors,,Financial constraints,,,,,,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few months ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,Yes
114753967533.0,I Agree,Male,40-49 years,Technical,Fair,I am OK and coping well,,,,,,,,,Anxiety and Depression,,Not Sure,Yes,Not so often,Not at all,No,Yes,No,No,Few days ago,Few weeks ago,Once in a while,Few months ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,I keep praying to God,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,No,Most of the sessions take place while busy with other duties,No
114753939320.0,I Agree,Female,50+ years,Commercial,Very Good,I am OK and coping well,not applicable,,Emotional intelligence,,,,,Unresolved Childhood Difficulties,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,not applicable,No
114753933388.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114753471937.0,I Agree,Female,25-39 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,Substance and Drug Dependence,,,Anxiety and Depression,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Pamphlets and nuggets,,Yes,No,Haven't had reason to ,No
114753391260.0,I Agree,Male,25-39 years,Ground Operations,Good,I’m just there,Therapy,,,Financial constraints,Trauma,,,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,Not Sure,No,No,Not Sure,I don't remember,Few weeks ago,Once in a while,Few weeks ago,4 - 6,OK,Once in a few weeks,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,No,,,Yes
114753285275.0,I Agree,Male,40-49 years,Commercial,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,,Not Sure,Yes,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,No,i work in outstation,Yes
